register ,address ,addr  ,size ,type   ,group    ,active ,byteorder    ,datamodel           ,description
U1       ,     10 ,30011 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Tensão Linha 1 (V)
U2       ,     12 ,30013 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Tensão Linha 2 (V)
U3       ,     14 ,30015 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Tensão Linha 3 (V)
IN       ,     18 ,30019 ,   2 ,f32    ,datatime ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente de Neutro
I1       ,     20 ,30021 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente Linha 1 (A)
I2       ,     22 ,30023 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente Linha 2 (A)
I3       ,     24 ,30025 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente Linha 3 (A)
Freq-IEC ,     32 ,30033 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Frequência Linha 1 (IEC – 10s)
P0       ,     34 ,30035 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Trifásica (W)
P1       ,     36 ,30037 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Linha 1 (W)
P2       ,     38 ,30039 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Linha 2 (W)
P3       ,     40 ,30041 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Linha 3 (W)
Q0       ,     42 ,30043 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Trifásica (VAr)
Q1       ,     44 ,30045 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Linha 1 (VAr)
Q2       ,     46 ,30047 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Linha 2 (VAr)
Q3       ,     48 ,30049 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Linha 3 (VAr)
S0       ,     50 ,30051 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Aparente Trifásica (VA)
S1       ,     52 ,30053 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Aparente Linha 1 (VA)
S2       ,     54 ,30055 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Aparente Linha 2 (VA)
S3       ,     56 ,30057 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Aparente Linha 3 (VA)
FP0      ,     58 ,30059 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Potência Trifásico
FP1      ,     60 ,30061 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Potência Linha 1
FP2      ,     62 ,30063 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Potência Linha 2
FP3      ,     64 ,30065 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Potência Linha 3
UAN-THD  ,   3000 ,33001 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Tensão da fase 1
UBN-THD  ,   3001 ,33002 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Tensão da fase 2
UCN-THD  ,   3002 ,33003 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Tensão da fase 3
IA-THD   ,   3003 ,33004 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Corrente da fase 1
IB-THD   ,   3004 ,33005 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Corrente da fase 2
IC-THD   ,   3005 ,33006 ,   1 ,int16  ,minutely ,true   ,MSB_LSB      ,read_input_register ,THD da Corrente da fase 3

C8-EA+   ,    200 ,30201 ,   2 ,f32    ,quarterly ,true  ,F2_F1_F0_EXP ,read_input_register  ,Energia Ativa Positiva (KWh)
CA-ER+   ,    202 ,30203 ,   2 ,f32    ,quarterly ,true  ,F2_F1_F0_EXP ,read_input_register  ,Energia Reativa Positiva(KVArh)
CC-EA-   ,    204 ,30205 ,   2 ,f32    ,quarterly ,true  ,F2_F1_F0_EXP ,read_input_register  ,Energia Ativa Negativa (KWh)
CE-ER-   ,    206 ,30207 ,   2 ,f32    ,quarterly ,true  ,F2_F1_F0_EXP ,read_input_register  ,Energia Reativa Negativa (KQh)
D0-MDA   ,    208 ,30209 ,   2 ,f32    ,quarterly ,false  ,F2_F1_F0_EXP ,read_input_register ,Máx. Demanda Ativa (KW)
D2-DA    ,    210 ,30211 ,   2 ,f32    ,quarterly ,false  ,F2_F1_F0_EXP ,read_input_register ,Demanda Ativa (KW)
D4-MDS   ,    212 ,30213 ,   2 ,f32    ,quarterly ,false  ,F2_F1_F0_EXP ,read_input_register ,Máx. Demanda Aparente (KVA)
D6-DS    ,    214 ,30215 ,   2 ,f32    ,quarterly ,false  ,F2_F1_F0_EXP ,read_input_register ,Demanda Aparente (KVA)
